Car ID	Make	Make (Full Name)	Model	Model Full Name	Manufacture Year	Age	Miles	Miles / Year	Color	Driver	Warantee Miles	Covered?	New Car ID
FD08MTG004	FD	Ford	MTG	Mustang	08	6	37558.8	5778.276923	Black	Jones	50000	Y	FD08MTGBLA004
TY98CAM021	TY	Toyota	CAM	Camrey	98	16	93382.6	5659.551515	Black	Swartz	100000	Y	TY98CAMBLA021
CR07PTC043	CR	Chrysler	PTC	PT Cruiser	07	7	42074.2	5609.893333	Green	Gaul	75000	Y	CR07PTCGRE043
FD08MTG005	FD	Ford	MTG	Mustang	08	6	36438.5	5605.923077	White	Smith	50000	Y	FD08MTGWHI005
GM00SLV019	GM	General Motors	SLV	Silverado	00	14	80685.8	5564.537931	Blue	Vizzini	100000	Y	GM00SLVBLU019
FD06FCS006	FD	Ford	FCS	Focus	06	8	46311.4	5448.4	Green	Ewenty	75000	Y	FD06FCSGRE006
TY02CAM023	TY	Toyota	CAM	Camrey	02	12	67829.1	5426.328	Black	Smith	100000	Y	TY02CAMBLA023
CR00CAR046	CR	Chrysler	CAR	Caravan	00	14	77243.1	5327.110345	Black	Jones	75000	Not Covered	CR00CARBLA046
HO99CIV030	HO	Honda	CIV	Caravan	99	15	82374	5314.451613	White	Rodriguez	75000	Not Covered	HO99CIVWHI030
FD06MTG002	FD	Ford	MTG	Mustang	06	8	44974.8	5291.152941	White	McCall	50000	Y	FD06MTGWHI002
HO01CIV031	HO	Honda	CIV	Caravan	01	13	69891.9	5177.177778	Blue	Jones	75000	Y	HO01CIVBLU031
GM09CMR014	GM	General Motors	CMR	Camero	09	5	28464.8	5175.418182	White	Santos	100000	Y	GM09CMRWHI014
TY02COR025	TY	Toyota	COR	Concis	02	12	64467.4	5157.392	Red	Gaul	100000	Y	TY02CORRED025
CR99CAR045	CR	Chrysler	CAR	Caravan	99	15	79420.6	5123.909677	Green	Hulinski	75000	Not Covered	CR99CARGRE045
HO01ODY040	HO	Honda	ODY	Odyssey	01	13	68658.9	5085.844444	Black	Smith	100000	Y	HO01ODYBLA040
GM98SLV018	GM	General Motors	SLV	Silverado	98	16	83162.7	5040.163636	Black	Santos	100000	Y	GM98SLVBLA018
CR04CAR048	CR	Chrysler	CAR	Caravan	04	10	52699.4	5018.990476	Red	Bard	75000	Y	CR04CARRED048
HO10CIV032	HO	Honda	CIV	Caravan	10	4	22573	5016.222222	Blue	Torrens	75000	Y	HO10CIVBLU032
FD06MTG001	FD	Ford	MTG	Mustang	06	8	40326.8	4744.329412	Black	Smith	50000	Y	FD06MTGBLA001
													
													
													
													
													
													
													
CR	Chrysler	CAM	Camrey										
FD	Ford	CAR	Caravan										
GM	General Motors	CMR	Camero										
HO	Honda	COR	Concis										
HY	Hundai	CTV	Civic										
TY	Toyota	ELA	Elantra										
		FCS	Focus										
		MTG	Mustang										
		ODY	Odyssey										
		PTC	PT Cruiser										
		SLV	Silverado										
